,dataset,f1,pr_auc,roc_auc,tpr,fpr,precision,accuracy,training_time(sec),Inference_time(sec),folds_best_params
0,stdb_308_0.csv,0.07178149501,0.04166667238,0.08333332431,0.238999989,0.4629999961,0.04292051253,0.7333333333,704.8946,2.9389,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
1,stdb_308_0.csv,0.0759201555,0.05000000285,0.2499999729,0.3549999737,0.4890833293,0.04323729572,0.8,944.9096,4.3319,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
2,stdb_308_0.csv,0.06743919331,0.04166667315,0,0.2449999852,0.6113636308,0.04027509128,0.7333333333,1019.7403,3.2945,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
3,stdb_308_0.csv,0.08068247257,0.04166667315,0,0.2139999929,0.5357272679,0.05018058574,0.7333333333,1027.7581,3.3182,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
4,stdb_308_0.csv,0.1571404598,0.124999995,0.7499999354,0.513999969,0.4114166632,0.09324431012,0.8,873.0873,5.249,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
5,stdb_308_0.csv,0.06982233728,0.04545454885,0.1666666486,0.3079999775,0.6087499949,0.04002137832,0.8,893.317,2.5206,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
6,stdb_308_0.csv,0.07586720625,0.0500000055,0.181818162,0.2859999803,0.5185454498,0.04502680617,0.7333333333,1012.3785,3.5768,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
7,stdb_308_0.csv,0.09167160265,0.0681818189,0.1666666569,0.3334999842,0.6553333279,0.0533833829,0.8,907.8825,3.5096,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
8,stdb_308_0.csv,0.1100515371,0.1017045422,0.3333333139,0.3344999876,0.4579999962,0.06595944563,0.8,988.2196,3.1111,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
9,stdb_308_0.csv,0.1578698307,0.1666666556,0.6363635692,0.5853332991,0.6165454489,0.09249094164,0.1538461538,856.2229,3.2627,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
