,dataset,f1,pr_auc,roc_auc,tpr,fpr,precision,accuracy,training_time(sec),Inference_time(sec),folds_best_params
8,chfdb_chf13_45590.csv,0.669957081,0.6666665936,0.9999999167,0.9693332975,0.8739999709,0.5379666537,0.8333333333,17333.7738,29.3037,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
9,chfdb_chf13_45590.csv,0.6671237481,0.19444443,0.8333332694,0.9633332985,0.8839999705,0.5385333206,0.8333333333,16420.5788,24.3712,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
0,chfdbchf15.csv,0.4386954798,0.3703703332,0.6666666403,0.680999976,0.4364374973,0.5662474117,0.9473684211,22329.9225,30.7581,"{'seq_length': 32, 'dim': 2, 'high': 7, 'l1': 0.003, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
1,chfdbchf15.csv,0.2989408015,0.4999999375,0.9999999441,0.9959999502,0.7857058777,0.2137259369,0.8947368421,18172.8649,24.1461,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
2,chfdbchf15.csv,0.6347544984,0.4999999375,0.9999999441,0.99949995,0.4023529388,0.5809617805,1,14950.9637,24.257,"{'seq_length': 32, 'dim': 2, 'high': 5, 'l1': 0.003, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
3,chfdbchf15.csv,0.1636113877,0.03333333681,0.124999993,0.6409999753,0.8285624948,0.09405560665,0.8421052632,14804.8047,29.4687,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
4,chfdbchf15.csv,0.5614622019,0.3725489822,0.6874999717,0.7739999729,0.3906874976,0.6203106699,0.9073684211,15380.5615,25.554,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
5,chfdbchf15.csv,0.1238060487,0.02941176808,0,0.4839999811,0.7281874954,0.07129686925,0.7894736842,15120.6755,24.9811,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
6,chfdbchf15.csv,0.2693029842,0.7499999022,0.9999999438,0.8784999671,0.7873749951,0.1720740714,0.7421052632,15627.1565,31.1778,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
7,chfdbchf15.csv,0.5461465958,0.3725489822,0.6874999717,0.7703333065,0.4037499975,0.5982727065,0.9473684211,16081.3863,23.2077,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
8,chfdbchf15.csv,0.5484006994,0.3703703332,0.6666666403,0.741999975,0.3947499975,0.6247077621,0.9473684211,15943.5093,28.5984,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
9,chfdbchf15.csv,0.431894424,0.3703703332,0.6666666403,0.7816666389,0.5415624966,0.4299775682,0.8421052632,15650.9455,23.6334,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.003, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
0,ltstdb_20221_43.csv,0.6227142284,0.3277777592,0.2222222074,0.9336666341,0.9699999677,0.4693666584,0.5,22746.365,30.365,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
1,ltstdb_20221_43.csv,0.5894499479,0.2916666526,0,0.7914999727,0.9814999509,0.4698999905,0,20533.6082,34.9737,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
2,ltstdb_20221_43.csv,0.7266213623,0.499999955,0.6666666111,0.9406666349,0.9539999523,0.6024333195,0.3,16296.0624,30.7918,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
3,ltstdb_20221_43.csv,0.4954856647,0.1250000006,0,0.8679999565,0.9679999677,0.3467499931,0.6,15795.2581,28.3289,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
